,time,Air_Flow1,DO1,Permeate1,Pressure1,TEMP1,Tank1,pH1,Air_Flow2,DO2,Permeate2,Pressure2,TEMP2,Tank2,pH2,time.1,l_min,date,day
0,0,5.989548611,0.855520833,27.8446875,2.054409722,24.93159722,14684.59028,6.839201389,9.1703125,4.285902778,27.84815972,2.318125,24.97694444,14653.49653,7.229097222,0,3.5,2023/2/25 0:00,0
1,1,6.001736111,0.836597222,27.86416667,1.985555556,25.03513889,14685.50694,7.009791667,9.180590278,4.387291667,27.88545139,2.320659722,25.02232639,14657.26042,7.24375,1,3.5,2023/2/25 1:00,0.041666667
2,2,5.997986111,0.845625,27.83822917,1.989201389,25.03211806,14686.03125,7.076840278,9.1696875,4.454131944,27.88350694,2.327534722,25.01222222,14657.18403,7.310416667,2,3.5,2023/2/25 2:00,0.083333333
3,3,5.998541667,1.174513889,27.84184028,1.987881944,24.99166667,14684.71875,7.159479167,9.171423611,4.325104167,27.88319444,2.333263889,25.0125,14657.81597,7.32375,3,3.5,2023/2/25 3:00,0.125
4,4,5.99375,0.843958333,27.81274306,1.998506944,25.01701389,14685.49306,7.212673611,9.172673611,4.404513889,27.82229167,2.342465278,25.00847222,14658.98264,7.335138889,4,3.5,2023/2/25 4:00,0.166666667
5,5,6.005729167,0.521701389,27.86357639,2.012951389,25.01638889,14683.63889,7.239861111,9.160416667,4.376736111,27.83684028,2.349583333,25.00545139,14653.96528,7.343993056,5,3.5,2023/2/25 5:00,0.208333333
6,6,5.994826389,0.512604167,27.84315972,2.018055556,24.9865625,14685.76042,7.256319444,9.145347222,4.339305556,27.85861111,2.354270833,25.02434028,14657.82986,7.348854167,6,3.5,2023/2/25 6:00,0.25
7,7,5.993055556,0.509895833,27.82090278,2.030590278,25.01680556,14685.25694,7.263229167,9.189861111,4.408125,27.83895833,2.360590278,25.01569444,14657.18403,7.355659722,7,3.5,2023/2/25 7:00,0.291666667
8,8,6.006875,0.507881944,27.84805556,2.039861111,24.99118056,14683.92014,7.261875,9.151145833,4.385486111,27.82545139,2.366458333,25.00173611,14657.98958,7.359097222,8,3.5,2023/2/25 8:00,0.333333333
9,9,5.990798611,0.478993056,27.83295139,2.058194444,24.99899306,14683.89931,7.261111111,9.203298611,4.346979167,27.8490625,2.378333333,25.01784722,14658.51736,7.362777778,9,3.5,2023/2/25 9:00,0.375
10,10,6.008472222,0.391944444,27.80260417,2.072847222,24.99958333,14682.77083,7.261840278,9.193715278,4.427222222,27.8471875,2.390208333,25.01052083,14657.05208,7.3678125,10,3.5,2023/2/25 10:00,0.416666667
