,Code,Date,MLSS1,MLSS2,RDOC,RNH4,RDTN,DOC1,NH41,NO31,NO21,DTN1,DOC2,NH42,NO32,NO22,DTN2
0,3.9,2023/2/28 23:00,4,4.1,168.76,43.14,48.39,2.98,0.47,28.52,0.05,31.33,3.29,0.09,29.38,0.02,30.05
1,5.9,2023/3/2 23:00,4.3,4.4,167.08,43.36,48.75,3.34,0.41,28.1,0.06,29.77,4.64,0.05,31.51,0.02,32.12
2,7.9,2023/3/4 23:00,4.15,4.25,172.36,44.54,48.97,3.37,2.85,22.8,0.16,28.14,4.03,0.16,31.27,0,31.95
3,9.86,2023/3/6 22:00,4.05,4.13,166.22,43.74,48.08,3.07,1.97,24.3,0.28,29.35,3.97,0.05,32.43,0.04,33.12
4,11.82,2023/3/8 21:00,4.3,4.2,168.44,45.25,49.85,2.97,2.95,23.4,0.27,29.35,4.68,0.02,34.77,0.04,35.34
5,13.36,2023/3/10 10:00,4.1,4.05,170.4,46.36,48.58,3.03,3.25,23.7,0.24,29.57,3.2,0.01,30.97,0.1,32.67
6,16.9,2023/3/13 23:00,4.13,3.85,171.02,44.37,49.78,2.94,2.17,19.58,0.27,23.36,3.94,0.05,31.62,0.01,33.24
7,21.73,2023/3/18 19:00,4.9,4.1,165.62,43.31,47.81,3.07,3.23,17.16,0.22,21.04,4.96,0.12,31.43,0.01,34.12
8,26.36,2023/3/23 10:00,4.8,4,173,43.25,47.66,2.95,0.02,27.67,0.03,28.86,4.64,0,30.6,0.08,32.21
9,28.9,2023/3/25 23:00,4.85,4.2,172.22,45.74,49.85,2.97,0.04,18.83,0.09,20.08,3.74,0.1,36.24,0.02,36.81
10,30.94,2023/3/28 0:00,3.9,3.9,167.54,47.91,49.74,2.94,0.05,29.92,0.07,31.54,4.42,0.09,33.46,0.09,35.16
11,31.94,2023/3/29 0:00,4.1,4.05,172.7,46.68,51.39,3.01,0.03,29.4,0.01,31.75,3.19,0,32.78,0.02,34.35
12,37.36,2023/4/3 10:00,4.3,4.2,168.68,44.87,48.62,3.25,0.04,30.94,0.03,32.54,3.15,0.14,31.22,0.03,32.32
13,39.36,2023/4/5 10:00,4.5,4.05,172.94,41.35,46.21,3.01,0.03,30.51,0.02,32.05,4.56,0.07,30.49,0.07,32.14
14,41.42,2023/4/7 11:30,4.7,4.1,169.38,47.12,52.29,3.09,0.05,29.1,0.01,30.21,4.11,0.04,30.93,0.01,31.52
15,44.44,2023/4/10 12:00,4.3,4.1,172.42,43.87,51.53,3.44,0.16,28.96,0.08,30.27,4.55,0.13,27.67,0.02,29.43
16,46.98,2023/4/13 1:00,4.9,4.8,166.62,44.74,48.57,3.09,14.27,3.68,0.2,19.26,3.8,0.08,24.66,0.04,26.34
17,48.53,2023/4/14 14:00,4.8,4.6,168.78,46.07,51.51,3.05,0.67,18.36,0.05,20.97,4.76,0.14,29.61,0.08,30.45
18,50.94,2023/4/17 0:00,4.9,4.3,173.08,41.97,44.53,3.29,0.03,30.86,0.06,32.36,3.22,0.14,31.71,0.08,32.5
19,54.53,2023/4/20 14:00,5,4.2,167.78,40.94,47.56,3.07,0.66,21.05,0.06,23.6,3.49,0.13,36.83,0.09,37.56
20,56.94,2023/4/23 0:00,5.3,4.8,166.52,43.56,47.52,3.06,0.07,23.54,0.01,25.24,4.55,0.1,34.8,0.06,35.57
21,60.94,2023/4/27 0:00,4.9,4.5,166.92,43.92,47.51,3.53,20.72,2,0.26,24.98,3.94,0.02,32.98,0.07,33.58
22,63.94,2023/4/30 0:00,4,4.2,171.3,46.6,50.85,3.09,23.19,3.42,0.24,28.66,4.81,0.01,32.99,0.04,33.58
23,67.82,2023/5/3 21:00,3.5,4.1,169.5,46.35,49.86,3.23,0.09,20.17,0.04,21.38,4.49,0,31.82,0.02,32.39
24,69.82,2023/5/5 21:00,3.7,4,171.3,44.68,49.51,3.01,0.12,27.76,0.06,29.12,3.6,0.11,31.26,0.09,32
25,72.82,2023/5/8 21:00,4,4.25,168,44.91,48.13,2.93,0.08,24.93,0.01,26.63,4.32,0.05,30.63,0.01,31.6
26,75.82,2023/5/11 21:00,3.8,4.05,172.8,44.85,49.47,3.21,11.92,3.16,0.2,16.82,4.93,0.09,30.9,0.07,31.61
27,78.82,2023/5/14 21:00,3.9,4.15,168.2,44.75,47.62,2.9,9.89,4.8,0.18,16.64,3.35,0.06,34.85,0.08,35.58
28,80.03,2023/5/16 2:00,3.7,4.1,166.8,44.11,48.03,3.47,5.2,9.83,0.25,16.71,4.54,0.02,36.64,0.09,37.55
29,82.03,2023/5/18 2:00,4.8,4.6,166.8,45.04,48.4,2.98,9.13,7.06,0.24,17.72,4.7,0.05,36.45,0.1,37.16
30,84.03,2023/5/20 2:00,4.7,4.25,171.3,45.54,48.89,2.94,0.01,13.39,0.04,14.76,3.12,0.11,33.66,0.02,34.35
31,86.98,2023/5/23 1:00,4.5,3.9,168.9,46,48.42,3.28,0.16,31.1,0.07,33.62,4.48,0.1,33.54,0.05,34.24
32,89.94,2023/5/26 0:00,4.3,4.1,166.8,45.35,48.5,3.04,0.01,19.25,0.03,20.41,4.18,0.13,32.41,0.07,33.21
33,91.86,2023/5/27 22:00,3.5,4.2,172,45.64,48.42,3.09,0.02,33.85,0.08,35.64,4.74,0.1,34.8,0.05,35.54
34,93.9,2023/5/29 23:00,3.8,4.3,168.9,45.58,48.66,3.15,0.01,32.83,0.04,33.47,3.92,0.1,30.49,0.01,31.23
35,95.9,2023/5/31 23:00,3.6,4.35,172.3,44.42,47.47,3.09,0.01,33.69,0.04,35.64,5,0.02,31.6,0.02,32.14
36,97.73,2023/6/2 19:00,3.5,4.5,171.4,45.97,48.29,2.98,0.07,28.99,0.07,31.08,4.49,0.05,32.52,0.09,33.21
37,100.9,2023/6/5 23:00,3.4,4.6,172.9,44.22,47.55,2.95,0.04,26.85,0.03,28.03,3.96,0.01,30.7,0.02,31.2
38,102.98,2023/6/8 1:00,3.7,4.9,171.2,45.31,47.76,2.69,0.12,19.04,0.01,21.09,4.59,0.11,32.2,0.01,32.9
39,105.15,2023/6/10 5:00,4.2,5.5,168.7,46.38,48.91,3.09,3.51,20.48,0.24,25.4,4.8,0.08,27.48,0.02,28.91
40,106.98,2023/6/12 1:00,4.3,5.4,172.6,46.3,49.84,3.05,13.08,2.11,0.27,16.99,4.82,0.05,26.78,0.04,27.4
41,109.44,2023/6/14 12:00,4.4,5.5,173.2,44.56,48.82,3.04,0.15,14.09,0.04,15.4,4.89,0.06,27.38,0.01,29.15
42,111.86,2023/6/16 22:00,4.5,5.4,167.1,45.13,47.9,2.95,0.03,24,0.04,25.85,4.91,0.02,27.12,0.05,28.7
43,114.9,2023/6/19 23:00,4.1,5.1,171.3,45.12,48.96,2.95,0.13,28.11,0.08,29.3,4.11,0.07,27.36,0.05,28.97
44,116.86,2023/6/21 22:00,4,5,167.7,44.44,47.57,2.94,0.04,23.15,0.1,24.69,4.31,0.15,30.62,0.05,31.4
